NAME                     PSRJ                     P0                                     P1                               F0                                   F1                                F2                              F3                            T0                                 R_LUM       R_LUM14     AGE      BSURF     P1_I      BSURF_I  B_LC

28    J0024-7204V   clf+00     J0024-7204V   clf+00     0.00481016762            7  rft+16     *                  0  *          207.892963             3  rft+16     *                   0  *          *                 0  *          *               0  *          51803.775137         2  rft+16     *           *           *        *         *         *        *
29    J0024-7204W   clf+00     J0024-7204W   clf+00     0.0023523445319370       3  rft+16     -8.65526E-20      12  rft+16     425.10779625320        5  rft+16     1.56415E-14         2  rft+16     *                 0  *          *               0  *          51585.3327393        2  rft+16     *           *           *        *         -8.77e-20 -nan     *
30    J0024-7204X   fre08      J0024-7204X   fre08      0.00477152291069356      5  rft+16     1.83610E-20        7  rft+16     209.576694635350       2  rft+16     -8.0646E-16         3  rft+16     *                 0  *          *               0  *          *                    0  *          *           *           4.12e+09 3e+08     1.59e-20  2.79e+08 2.58e+04

31    J0024-7204Y   frk+17     J0024-7204Y   frk+17     0.00219665714352123      5  frk+17     -3.51721E-20      10  frk+17     455.23717843241        1  frk+17     7.2891E-15          2  frk+17     -21.1E-27         9  frk+17     *               0  *          *                    0  *          *           *           *        *         -3.59e-20 -nan     *
32    J0024-7204Z   frk+17     J0024-7204Z   frk+17     0.004554447383906        3  frk+17     -4.54E-21          7  frk+17     219.5656060346         1  frk+17     0.219E-15           3  frk+17     8E-27            25  frk+17     *               0  *          *                    0  *          *           *           *        *         -5.02e-21 -nan     *
33    J0026+6320    jml+09     J0026+6320    jml+09     0.31835777079            3  sjm+19     1.506E-16          6  sjm+19     3.1411201226           2  sjm+19     -1.486e-15          5  sjm+19     *                 0  *          *               0  *          *                    0  *          *           43.81       3.35e+07 2.22e+11  *         *        6.44e+01
34    J0030+0451    lzb+00     J0030+0451    lzb+00     0.0048654532112551       3  abb+18     1.01743E-20       12  abb+18     205.530699110769       9  abb+18     -4.2979E-16         5  abb+18     *                 0  *          *               0  *          *                    0  *          0.83        0.06        7.58e+09 2.25e+08  1.00e-20  2.23e+08 1.83e+04
35    J0033+57      hrk+08     J0033+57      hrk+08     0.315                    0  hrk+08     *                  0  *              3.174603           0  hrk+08     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *

36    J0033+61      hrk+08     J0033+61      hrk+08     0.912                    0  hrk+08     *                  0  *              1.096491           0  hrk+08     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
37    J0034-0534    bhl+94     J0034-0534    bhl+94     0.0018771818845850       2  aaa+10b    4.966E-21          1  aaa+10b    532.71342974902        6  aaa+10b    -1.4093E-15         3  aaa+10b    *                 0  *          *               0  *          *                    0  *          43.61       1.11        5.99e+09 9.77e+07  4.06e-21  8.84e+07 1.38e+05
38    B0031-07      lvw69a     J0034-0721    lvw69a     0.9429509945598         17  hlk+04     4.08210E-16        7  hlk+04     1.0605004987209       19  hlk+04     -4.59098E-16        7  hlk+04     *                 0  *          *               0  *          *                    0  *          55.17       11.78       3.66e+07 6.28e+11  4.08e-16  6.27e+11 7.02e+00
39    J0034+69      slr+14     J0034+69      slr+14     0.03680412              16  slr+14     *                  0  *          27.17087              12  slr+14     *                   0  *          *                 0  *          *               0  *          *                    0  *          23.45       *           *        *         *         *        *
40    J0038-2501    acd+19     J0038-2501    acd+19     0.2569264575329         17  acd+19     0.0760E-17         6  acd+19     3.89216435552          3  acd+19     -1.151E-17         10  acd+19     *                 0  *          *               0  *          *                    0  *          *           *           5.36e+09 1.41e+10  *         *        7.82e+00

41    J0039+35      scb+19     J0039+35      scb+19     0.5367                   0  scb+19     *                  0  *              1.863238           0  scb+19     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
42    B0037+56      dtws85     J0040+5716    dtws85     1.1182253452412         13  hlk+04     2.878973E-15      12  hlk+04     0.8942741320036       10  hlk+04     -2.302390E-15       9  hlk+04     -1.2E-28         17  hlk+04     *               0  *          *                    0  *          43.92       3.51        6.15e+06 1.82e+12  2.88e-15  1.82e+12 1.22e+01
43    J0043-73      tsm+19     J0043-73      tsm+19     0.93742937              26  tsm+19     *                  0  *          1.0667470              3  tsm+19     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           163.26      *        *         *         *        *
44    J0045-7042    mfl+06     J0045-7042    mfl+06     0.63233580002            6  mfl+06     2.49E-15           3  mfl+06     1.58143821680         16  mfl+06     -6.23E-15           8  mfl+06     *                 0  *          *               0  *          *                    0  *          *           392.05      4.02e+06 1.27e+12  *         *        4.71e+01
45    J0045-7319    mmh+91     J0045-7319    mmh+91     0.92627590497            3  kbm+96     4.4632E-15         9  kbm+96     1.07959193868          4  kbm+96     -5.2019E-15        11  kbm+96     8.2E-25           5  kbm+96     *               0  *          49169.21361          3  kbm+96     3564.09     1069.23     3.29e+06 2.06e+12  *         *        2.43e+01

46    B0045+33      dtws85     J0048+3412    dtws85     1.217094296058           8  hlk+04     2.35454E-15        6  hlk+04     0.821629025162         5  hlk+04     -1.58949E-15        4  hlk+04     -10.0E-28        70  hlk+04     *               0  *          *                    0  *          46.57       *           8.19e+06 1.71e+12  *         *        8.91e+00
47    J0050+03      dsm+16     J0050+03      dsm+16     1.36656                  0  dsm+16     *                  0  *              0.731764           0  dsm+16     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
48    J0051+0423    snt97      J0051+0423    snt97      0.35473179890            1  snt97      7E-18              2  snt97      2.81903117539          8  snt97      -5.6E-17           16  snt97      *                 0  *          *               0  *          *                    0  *          4.67        0.78        8.03e+08 5.04e+10  *         *        1.06e+01
49    J0052-72      tsm+19     J0052-72      tsm+19     0.191444328             46  tsm+19     *                  0  *          5.2234507             13  tsm+19     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           141.62      *        *         *         *        *
50    J0054+66      hrk+08     J0054+66      hrk+08     1.39                     0  hrk+08     *                  0  *              0.719424           0  hrk+08     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *

51    J0054+69      kkl+15     J0054+69      kkl+15     *                        0  *          *                  0  *          *                      0  *          *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
52    J0054+6946    slr+14     J0054+6946    slr+14     0.832911328744           5  lsk+18     7.194E-16          7  lsk+18     1.200607994501         6  lsk+18     -1.037E-15          1  lsk+18     *                 0  *          *               0  *          *                    0  *          *           *           1.83e+07 7.83e+11  *         *        1.27e+01
53    B0052+51      dtws85     J0055+5117    dtws85     2.115171148865           4  hlk+04     9.53764E-15        4  hlk+04     0.4727749811340        8  hlk+04     -2.131817E-15       8  hlk+04     7.8E-28          14  hlk+04     *               0  *          *                    0  *          27.75       12.24       3.51e+06 4.55e+12  9.53e-15  4.54e+12 4.50e+00
54    B0053+47      dtws85     J0056+4756    dtws85     0.472036662076           7  hlk+04     3.32849E-15        7  hlk+04     2.11847951725          3  hlk+04     -1.49381E-14        3  hlk+04     -2.7E-26          5  hlk+04     *               0  *          *                    0  *          3.78        *           2.25e+06 1.27e+12  *         *        1.13e+02
55    J0057-7201    ckm+01     J0057-7201    ckm+01     0.7380624426             2  ckm+01     1.0E-16            8  ckm+01     1.3548989114           4  ckm+01     -1.8E-16           15  ckm+01     *                 0  *          *               0  *          *                    0  *          *           *           1.17e+08 2.75e+11  *         *        6.41e+00

56    J0058+4950    slr+14     J0058+4950    slr+14     0.99602345227            4  lsk+18     8.04E-16          20  lsk+18     1.00399242379          4  lsk+18     -8.1E-16            2  lsk+18     *                 0  *          *               0  *          *                    0  *          *           *           1.96e+07 9.05e+11  *         *        8.59e+00
57    J0058+6125    hrk+08     J0058+6125    hrk+08     0.637                    0  hrk+08     *                  0  *              1.569859           0  hrk+08     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
58    J0059+69      scb+19     J0059+69      scb+19     1.1459                   0  scb+19     *                  0  *              0.872676           0  scb+19     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
59    J0100-7211    lfmp02     J0100-7211    lfmp02     8.020392                 9  mgr+05     1.88E-11           8  mgr+05     0.12468219            14  mgr+05     -2.92E-13          13  mgr+05     *                 0  *          *               0  *          *                    0  *          *           *           6.76e+03 3.93e+14  *         *        7.14e+00
60    J0100+8023    scb+19     J0100+8023    scb+19     1.4936009186             2  tbc+20     0.3543E-15         6  tbc+20     0.66952288764          9  tbc+20     -1.588E-16          3  tbc+20     *                 0  *          *               0  *          *                    0  *          *           *           6.68e+07 7.36e+11  *         *        2.07e+00

61    J0101-6422    kcj+12     J0101-6422    kcj+12     0.0025731519721683       2  kcj+12     5.16E-21           3  kcj+12     388.62842568810        4  kcj+12     -7.79E-16           5  kcj+12     *                 0  *          *               0  *          55162.4011764        3  kcj+12     *           0.28        7.9e+09  1.17e+08  3.63e-21  9.78e+07 6.42e+04
62    J0102+4839    hrm+11     J0102+4839    hrm+11     0.00296                  0  hrm+11     *                  0  *            337.837838           0  hrm+11     *                   0  *          *                 0  *          *               0  *          *                    0  *          2.83        *           *        *         *         *        *
63    B0059+65      dbtb82     J0102+6537    dbtb82     1.679164229064          12  hlk+04     5.95492E-15        9  hlk+04     0.595534363281         4  hlk+04     -2.11198E-15        3  hlk+04     -2.87E-26         6  hlk+04     *               0  *          *                    0  *          53.12       7.50        4.47e+06 3.2e+12   5.95e-15  3.20e+12 6.34e+00
